equipment_type,dilution,plate_number,Target,replicate_number,Cq,SQ
Quant5,0.000001,4,FAM,9,NA,0.5548
Quant5,0.000001,4,FAM,10,38.453,0.5548
Quant5,0.000001,4,VIC,1,38.514,0.5548
Quant5,0.000001,4,VIC,2,38.398,0.5548
Quant5,0.000001,4,VIC,3,NA,0.5548
Quant5,0.000001,4,VIC,4,38.58,0.5548
Quant5,0.000001,4,VIC,5,NA,0.5548
Quant5,0.000001,4,VIC,6,NA,0.5548
Quant5,0.000001,4,VIC,7,NA,0.5548
Quant5,0.000001,4,VIC,8,38.544,0.5548
Quant5,0.000001,4,VIC,9,NA,0.5548
Quant5,0.000001,4,VIC,10,37.332,0.5548
