Dvex.abundance	Location	Year	Month	Sampling.site	Filter.number	Rep.number	Ct.value	calib.curve
low	Portavadie	2018	April	E	1	2	NA	160720201
low	Portavadie	2018	April	E	1	3	38.23	160720201
low	Portavadie	2018	April	E	2	1	NA	160720201
low	Portavadie	2018	April	E	2	2	38.45	160720201
low	Portavadie	2018	April	E	2	3	NA	160720201
low	Portavadie	2018	April	E	3	1	37.27	160720201
low	Portavadie	2018	April	E	3	2	38.85	160720201
low	Portavadie	2018	April	E	3	3	38.23	160720201
low	Portavadie	2018	April	E	4	1	NA	160720201
low	Portavadie	2018	April	E	4	2	38.42	160720201
low	Portavadie	2018	April	E	4	3	38.55	160720201
low	Portavadie	2018	April	E	5	1	NA	160720201
low	Portavadie	2018	April	E	5	2	39.73	160720201
low	Portavadie	2018	April	E	5	3	37.74	160720201
low	Portavadie	2018	April	F	1	1	38.71	160720201
low	Portavadie	2018	April	F	1	2	39.06	160720201
low	Portavadie	2018	April	F	1	3	NA	160720201
low	Portavadie	2018	April	F	2	1	NA	160720201
low	Portavadie	2018	April	F	2	2	NA	160720201
low	Portavadie	2018	April	F	2	3	NA	160720201
low	Portavadie	2018	April	F	3	1	NA	160720201
low	Portavadie	2018	April	F	3	2	43.46	160720201
low	Portavadie	2018	April	F	3	3	NA	160720201
low	Portavadie	2018	April	F	4	1	NA	160720201
low	Portavadie	2018	April	F	4	2	41.57	160720201
low	Portavadie	2018	April	F	4	3	NA	160720201
low	Portavadie	2018	April	F	5	1	NA	160720202
low	Portavadie	2018	April	F	5	2	39.379	160720202
low	Portavadie	2018	April	F	5	3	NA	160720202
low	Portavadie	2018	April	G	1	1	NA	160720202
low	Portavadie	2018	April	G	1	2	37.35	160720202
low	Portavadie	2018	April	G	1	3	37.25	160720202
low	Portavadie	2018	April	G	2	1	NA	160720202
low	Portavadie	2018	April	G	2	2	NA	160720202
low	Portavadie	2018	April	G	2	3	NA	160720202
low	Portavadie	2018	April	G	3	1	NA	160720202
low	Portavadie	2018	April	G	3	2	38.58	160720202
low	Portavadie	2018	April	G	3	3	NA	160720202
low	Portavadie	2018	April	G	4	1	40.16	160720202
low	Portavadie	2018	April	G	4	2	40.65	160720202
low	Portavadie	2018	April	G	4	3	NA	160720202
low	Portavadie	2018	April	G	5	1	NA	160720202
low	Portavadie	2018	April	G	5	2	NA	160720202
low	Portavadie	2018	April	G	5	3	NA	160720202
low	Portavadie	2018	July	E	1	1	NA	411
low	Portavadie	2018	July	E	1	2	NA	411
low	Portavadie	2018	July	E	1	3	NA	411
low	Portavadie	2018	July	E	2	1	NA	411
low	Portavadie	2018	July	E	2	2	NA	411
low	Portavadie	2018	July	E	2	3	NA	411
low	Portavadie	2018	July	E	3	1	39.40	411
low	Portavadie	2018	July	E	3	2	39.53	411
low	Portavadie	2018	July	E	3	3	NA	411
low	Portavadie	2018	July	E	4	1	NA	411
low	Portavadie	2018	July	E	4	2	38.63	411
low	Portavadie	2018	July	E	4	3	NA	411
low	Portavadie	2018	July	E	5	1	NA	411
low	Portavadie	2018	July	E	5	2	39.87	411
low	Portavadie	2018	July	E	5	3	NA	411
low	Portavadie	2018	July	F	1	1	37.58	411
low	Portavadie	2018	July	F	1	2	NA	411
low	Portavadie	2018	July	F	1	3	NA	411
low	Portavadie	2018	July	F	2	1	NA	411
low	Portavadie	2018	July	F	2	2	39.81	411
low	Portavadie	2018	July	F	2	3	39.77	411
low	Portavadie	2018	July	F	3	1	42.96	411
low	Portavadie	2018	July	F	3	2	NA	411
low	Portavadie	2018	July	F	3	3	38.82	411
low	Portavadie	2018	July	F	4	1	NA	411
low	Portavadie	2018	July	F	4	2	NA	411
low	Portavadie	2018	July	F	4	3	NA	411
low	Portavadie	2018	July	F	5	1	NA	411
low	Portavadie	2018	July	F	5	2	NA	411
low	Portavadie	2018	July	F	5	3	39.30	411
low	Portavadie	2018	July	G	1	1	NA	411
low	Portavadie	2018	July	G	1	2	NA	411
low	Portavadie	2018	July	G	1	3	39.92	411
low	Portavadie	2018	July	G	2	1	39.25	411
low	Portavadie	2018	July	G	2	2	NA	411
low	Portavadie	2018	July	G	2	3	39.45	411
low	Portavadie	2018	July	G	3	1	NA	411
low	Portavadie	2018	July	G	3	2	NA	411
low	Portavadie	2018	July	G	3	3	NA	411
low	Portavadie	2018	July	G	4	1	37.09	411
low	Portavadie	2018	July	G	4	2	38.02	411
low	Portavadie	2018	July	G	4	3	36.32	411
low	Portavadie	2018	July	G	5	1	NA	411
low	Portavadie	2018	July	G	5	2	NA	411
low	Portavadie	2018	July	G	5	3	NA	411
low	Portavadie	2018	November	E	1	1	36.97	411
low	Portavadie	2018	November	E	1	2	39.20	411
low	Portavadie	2018	November	E	1	3	39.70	411
low	Portavadie	2018	November	E	2	1	38.75	411
low	Portavadie	2018	November	E	2	2	37.46	411
low	Portavadie	2018	November	E	2	3	39.23	411
low	Portavadie	2018	November	E	3	1	38.84	411
low	Portavadie	2018	November	E	3	2	38.14	411
low	Portavadie	2018	November	E	3	3	37.16	411
low	Portavadie	2018	November	E	4	1	40.00	411
low	Portavadie	2018	November	E	4	2	NA	411
low	Portavadie	2018	November	E	4	3	NA	411
low	Portavadie	2018	November	E	5	1	38.96	411
low	Portavadie	2018	November	E	5	2	41.09	411
low	Portavadie	2018	November	E	5	3	38.41	411
low	Portavadie	2018	November	F	1	1	37.48	411
low	Portavadie	2018	November	F	1	2	NA	411
low	Portavadie	2018	November	F	1	3	39.42	411
low	Portavadie	2018	November	F	2	1	35.92	411
low	Portavadie	2018	November	F	2	2	35.92	411
low	Portavadie	2018	November	F	2	3	36.75	411
low	Portavadie	2018	November	F	3	1	38.64	411
low	Portavadie	2018	November	F	3	2	NA	411
low	Portavadie	2018	November	F	3	3	NA	411
low	Portavadie	2018	November	F	4	1	NA	411
low	Portavadie	2018	November	F	4	2	NA	411
low	Portavadie	2018	November	F	4	3	NA	411
low	Portavadie	2018	November	F	5	1	38.93	411
low	Portavadie	2018	November	F	5	2	NA	411
low	Portavadie	2018	November	F	5	3	39.61	411
low	Portavadie	2018	November	G	1	1	NA	411
low	Portavadie	2018	November	G	1	2	NA	411
low	Portavadie	2018	November	G	1	3	37.90	411
low	Portavadie	2018	November	G	2	1	40.42	411
low	Portavadie	2018	November	G	2	2	NA	411
low	Portavadie	2018	November	G	2	3	NA	411
low	Portavadie	2018	November	G	3	1	NA	411
low	Portavadie	2018	November	G	3	2	47.82	411
low	Portavadie	2018	November	G	3	3	38.47	411
low	Portavadie	2018	November	G	4	1	39.11	411
low	Portavadie	2018	November	G	4	2	39.11	411
low	Portavadie	2018	November	G	4	3	37.43	411
low	Portavadie	2018	November	G	5	1	38.94	411
low	Portavadie	2018	November	G	5	2	36.60	411
low	Portavadie	2018	November	G	5	3	37.02	411
low	Portavadie	2019	February	E	1	1	NA	160720202
low	Portavadie	2019	February	E	1	2	NA	160720202
low	Portavadie	2019	February	E	1	3	NA	160720202
low	Portavadie	2019	February	E	2	1	38.65	160720202
low	Portavadie	2019	February	E	2	2	38.14	160720202
low	Portavadie	2019	February	E	2	3	38.39	160720202
low	Portavadie	2019	February	E	3	1	NA	160720202
low	Portavadie	2019	February	E	3	2	NA	160720202
low	Portavadie	2019	February	E	3	3	NA	160720202
low	Portavadie	2019	February	E	4	1	37.06	160720202
low	Portavadie	2019	February	E	4	2	NA	160720202
low	Portavadie	2019	February	E	4	3	NA	160720202
low	Portavadie	2019	February	E	5	1	NA	160720202
low	Portavadie	2019	February	E	5	2	NA	160720202
low	Portavadie	2019	February	E	5	3	NA	160720202
low	Portavadie	2019	February	F	1	1	NA	160720202
low	Portavadie	2019	February	F	1	2	NA	160720202
low	Portavadie	2019	February	F	1	3	NA	160720202
low	Portavadie	2019	February	F	2	1	NA	160720202
low	Portavadie	2019	February	F	2	2	NA	160720202
low	Portavadie	2019	February	F	2	3	NA	160720202
low	Portavadie	2019	February	F	3	1	NA	160720202
low	Portavadie	2019	February	F	3	2	NA	160720202
low	Portavadie	2019	February	F	3	3	NA	160720202
low	Portavadie	2019	February	F	4	1	NA	160720202
low	Portavadie	2019	February	F	4	2	NA	160720202
low	Portavadie	2019	February	F	4	3	NA	160720202
low	Portavadie	2019	February	F	5	1	NA	160720202
low	Portavadie	2019	February	F	5	2	NA	160720202
low	Portavadie	2019	February	F	5	3	NA	160720202
low	Portavadie	2019	February	G	1	1	NA	160720202
low	Portavadie	2019	February	G	1	2	NA	160720202
low	Portavadie	2019	February	G	1	3	NA	160720202
low	Portavadie	2019	February	G	2	1	NA	160720202
low	Portavadie	2019	February	G	2	2	38.02	160720202
low	Portavadie	2019	February	G	2	3	38.03	160720202
low	Portavadie	2019	February	G	3	1	39.03	160720202
low	Portavadie	2019	February	G	3	2	NA	160720202
low	Portavadie	2019	February	G	3	3	NA	160720202
low	Portavadie	2019	February	G	4	1	NA	160720202
low	Portavadie	2019	February	G	4	2	NA	160720202
low	Portavadie	2019	February	G	4	3	NA	160720202
low	Portavadie	2019	February	G	5	1	NA	160720202
low	Portavadie	2019	February	G	5	2	38.95	160720202
low	Portavadie	2019	February	G	5	3	NA	160720202
medium	Fairlie	2018	February	H	1	1	35.44	406
medium	Fairlie	2018	February	H	1	2	35.87	406
medium	Fairlie	2018	February	H	1	3	35.14	406
medium	Fairlie	2018	February	H	2	1	35.99	406
medium	Fairlie	2018	February	H	2	2	36.275	406
medium	Fairlie	2018	February	H	2	3	36.251	406
medium	Fairlie	2018	February	H	3	1	35.52	406
medium	Fairlie	2018	February	H	3	2	35.11	406
medium	Fairlie	2018	February	H	3	3	35.74	406
medium	Fairlie	2018	February	H	4	1	37.46	406
medium	Fairlie	2018	February	H	4	2	36.34	406
medium	Fairlie	2018	February	H	4	3	35.91	406
medium	Fairlie	2018	February	H	5	1	35.78	406
medium	Fairlie	2018	February	H	5	2	36.23	406
medium	Fairlie	2018	February	H	5	3	35.21	406
medium	Fairlie	2018	February	H	6	1	37.2	406
medium	Fairlie	2018	February	H	6	2	36.14	406
medium	Fairlie	2018	February	H	6	3	35.99	406
medium	Fairlie	2018	February	H	7	1	36.34	406
medium	Fairlie	2018	February	H	7	2	36.34	406
medium	Fairlie	2018	February	H	7	3	36.62	406
medium	Fairlie	2018	February	H	8	1	35.97	406
medium	Fairlie	2018	February	H	8	2	35.971	406
medium	Fairlie	2018	February	H	8	3	35.65	406
medium	Fairlie	2018	February	H	9	1	34.99	406
medium	Fairlie	2018	February	H	9	2	35.69	406
medium	Fairlie	2018	February	H	9	3	35.2	406
medium	Fairlie	2018	February	H	10	1	35.71	406
medium	Fairlie	2018	February	H	10	2	35.54	406
medium	Fairlie	2018	February	H	10	3	35.92	406
medium	Fairlie	2018	February	J	1	1	38.422	406
medium	Fairlie	2018	February	J	1	2	39.2	406
medium	Fairlie	2018	February	J	1	3	39	406
medium	Fairlie	2018	February	J	2	1	38.68	1606
medium	Fairlie	2018	February	J	2	2	47.13	1606
medium	Fairlie	2018	February	J	2	3	41.84	1606
medium	Fairlie	2018	February	J	3	1	38.94	1606
medium	Fairlie	2018	February	J	3	2	37.83	1606
medium	Fairlie	2018	February	J	3	3	37.32	1606
medium	Fairlie	2018	February	J	4	1	38.89	1606
medium	Fairlie	2018	February	J	4	2	40.98	1606
medium	Fairlie	2018	February	J	4	3	38.98	1606
medium	Fairlie	2018	February	J	5	1	35.88	1606
medium	Fairlie	2018	February	J	5	2	37.12	1606
medium	Fairlie	2018	February	J	5	3	37.35	1606
medium	Fairlie	2018	February	J	6	1	40.35	1606
medium	Fairlie	2018	February	J	6	2	38.89	1606
medium	Fairlie	2018	February	J	6	3	40.55	1606
medium	Fairlie	2018	February	J	7	1	NA	1606
medium	Fairlie	2018	February	J	7	2	42.67	1606
medium	Fairlie	2018	February	J	7	3	NA	1606
medium	Fairlie	2018	February	J	8	1	40.31	1606
medium	Fairlie	2018	February	J	8	2	37.70	1606
medium	Fairlie	2018	February	J	8	3	39.41	1606
medium	Fairlie	2018	February	J	9	1	NA	1606
medium	Fairlie	2018	February	J	9	2	40.05	1606
medium	Fairlie	2018	February	J	9	3	NA	1606
medium	Fairlie	2018	February	J	10	1	41.60	1606
medium	Fairlie	2018	February	J	10	2	37.79	1606
medium	Fairlie	2018	February	J	10	3	37.99	1606
medium	Fairlie	2018	February	K	1	1	36.72	1606
medium	Fairlie	2018	February	K	1	2	36.35	1606
medium	Fairlie	2018	February	K	1	3	37.64	1606
medium	Fairlie	2018	February	K	2	1	35.94	1606
medium	Fairlie	2018	February	K	2	2	37.60	1606
medium	Fairlie	2018	February	K	2	3	36.13	1606
medium	Fairlie	2018	February	K	3	1	36.30	1606
medium	Fairlie	2018	February	K	3	2	37.14	1606
medium	Fairlie	2018	February	K	3	3	36.79	1606
medium	Fairlie	2018	February	K	4	1	36.05	1606
medium	Fairlie	2018	February	K	4	2	35.95	1606
medium	Fairlie	2018	February	K	4	3	37.65	1606
medium	Fairlie	2018	February	K	5	1	35.67	1606
medium	Fairlie	2018	February	K	5	2	36.32	1606
medium	Fairlie	2018	February	K	5	3	36.63	1606
medium	Fairlie	2018	February	K	6	1	36.41	1606
medium	Fairlie	2018	February	K	6	2	36.38	1606
medium	Fairlie	2018	February	K	6	3	36.57	1606
medium	Fairlie	2018	February	K	7	1	35.72	1606
medium	Fairlie	2018	February	K	7	2	35.97	1606
medium	Fairlie	2018	February	K	7	3	36.48	1606
medium	Fairlie	2018	February	K	8	1	36.64	1606
medium	Fairlie	2018	February	K	8	2	36.97	1606
medium	Fairlie	2018	February	K	8	3	38.11	1606
medium	Fairlie	2018	February	K	9	1	36.43	1606
medium	Fairlie	2018	February	K	9	2	36.24	1606
medium	Fairlie	2018	February	K	9	3	35.80	1606
medium	Fairlie	2018	February	K	10	1	36.26	1606
medium	Fairlie	2018	February	K	10	2	36.44	1606
medium	Fairlie	2018	February	K	10	3	35.92	1606
medium	Fairlie	2018	April	H	1	1	37.53	223
medium	Fairlie	2018	April	H	1	2	36.67	223
medium	Fairlie	2018	April	H	1	3	37.55	223
medium	Fairlie	2018	April	H	2	1	36.1	223
medium	Fairlie	2018	April	H	2	2	36.02	223
medium	Fairlie	2018	April	H	2	3	37.14	223
medium	Fairlie	2018	April	H	3	1	37.91	223
medium	Fairlie	2018	April	H	3	2	37.57	223
medium	Fairlie	2018	April	H	3	3	38.91	223
medium	Fairlie	2018	April	H	4	1	37.25	223
medium	Fairlie	2018	April	H	4	2	38.03	223
medium	Fairlie	2018	April	H	4	3	38.15	223
medium	Fairlie	2018	April	H	5	1	38.69	223
medium	Fairlie	2018	April	H	5	2	38.46	223
medium	Fairlie	2018	April	H	5	3	37.27	223
medium	Fairlie	2018	April	J	1	1	NA	223
medium	Fairlie	2018	April	J	1	2	NA	223
medium	Fairlie	2018	April	J	1	3	40.61	223
medium	Fairlie	2018	April	J	2	1	41.3	223
medium	Fairlie	2018	April	J	2	2	40.12	223
medium	Fairlie	2018	April	J	2	3	38.5	223
medium	Fairlie	2018	April	J	3	1	39.45	223
medium	Fairlie	2018	April	J	3	2	39.52	223
medium	Fairlie	2018	April	J	3	3	41.6	223
medium	Fairlie	2018	April	J	4	1	39.49	223
medium	Fairlie	2018	April	J	4	2	42.05	223
medium	Fairlie	2018	April	J	4	3	41.84	223
medium	Fairlie	2018	April	J	5	1	38.99	223
medium	Fairlie	2018	April	J	5	2	37.8	223
medium	Fairlie	2018	April	J	5	3	38.93	223
medium	Fairlie	2018	April	K	1	1	42.57	223
medium	Fairlie	2018	April	K	1	2	NA	223
medium	Fairlie	2018	April	K	1	3	42.3	223
medium	Fairlie	2018	April	K	2	1	38.51	223
medium	Fairlie	2018	April	K	2	2	37.72	223
medium	Fairlie	2018	April	K	2	3	37.84	223
medium	Fairlie	2018	April	K	3	1	38.77	223
medium	Fairlie	2018	April	K	3	2	38.1	223
medium	Fairlie	2018	April	K	3	3	38.58	223
medium	Fairlie	2018	April	K	4	1	NA	223
medium	Fairlie	2018	April	K	4	2	NA	223
medium	Fairlie	2018	April	K	4	3	NA	223
medium	Fairlie	2018	April	K	5	1	38.66	223
medium	Fairlie	2018	April	K	5	2	39.7	223
medium	Fairlie	2018	April	K	5	3	40.28	223
medium	Fairlie	2018	October	H	1	1	37.13	406
medium	Fairlie	2018	October	H	1	2	36.51	406
medium	Fairlie	2018	October	H	1	3	36.25	406
medium	Fairlie	2018	October	H	2	1	37.44	406
medium	Fairlie	2018	October	H	2	2	37.62	406
medium	Fairlie	2018	October	H	2	3	37.46	406
medium	Fairlie	2018	October	H	3	1	38.94	406
medium	Fairlie	2018	October	H	3	2	36.64	406
medium	Fairlie	2018	October	H	3	3	38.14	406
medium	Fairlie	2018	October	H	4	1	35.91	406
medium	Fairlie	2018	October	H	4	2	36.26	406
medium	Fairlie	2018	October	H	4	3	36.25	406
medium	Fairlie	2018	October	H	5	1	37.28	406
medium	Fairlie	2018	October	H	5	2	38.17	406
medium	Fairlie	2018	October	H	5	3	37.94	406
medium	Fairlie	2018	October	J	1	1	38.51	406
medium	Fairlie	2018	October	J	1	2	39.05	406
medium	Fairlie	2018	October	J	1	3	37.82	406
medium	Fairlie	2018	October	J	2	1	37.26	406
medium	Fairlie	2018	October	J	2	2	39.28	406
medium	Fairlie	2018	October	J	2	3	37.79	406
medium	Fairlie	2018	October	J	3	1	37.03	406
medium	Fairlie	2018	October	J	3	2	37.27	406
medium	Fairlie	2018	October	J	3	3	37.03	406
medium	Fairlie	2018	October	J	4	1	38.08	406
medium	Fairlie	2018	October	J	4	2	37.59	406
medium	Fairlie	2018	October	J	4	3	40.11	406
medium	Fairlie	2018	October	J	5	1	37.59	406
medium	Fairlie	2018	October	J	5	2	37.54	406
medium	Fairlie	2018	October	J	5	3	37.69	406
medium	Fairlie	2018	October	K	1	1	37.14	406
medium	Fairlie	2018	October	K	1	2	36.74	406
medium	Fairlie	2018	October	K	1	3	36.12	406
medium	Fairlie	2018	October	K	2	1	35.84	406
medium	Fairlie	2018	October	K	2	2	37.6	406
medium	Fairlie	2018	October	K	2	3	36.81	406
medium	Fairlie	2018	October	K	3	1	37.2	406
medium	Fairlie	2018	October	K	3	2	37.81	406
medium	Fairlie	2018	October	K	3	3	38.22	406
medium	Fairlie	2018	October	K	4	1	37.89	406
medium	Fairlie	2018	October	K	4	2	38.66	406
medium	Fairlie	2018	October	K	4	3	37	406
medium	Fairlie	2018	October	K	5	1	37.04	406
medium	Fairlie	2018	October	K	5	2	37.23	406
medium	Fairlie	2018	October	K	5	3	36.72	406
medium	Fairlie	2019	May	H	1	1	36.37	160720202
medium	Fairlie	2019	May	H	1	2	36.42	160720202
medium	Fairlie	2019	May	H	1	3	36.137	160720202
medium	Fairlie	2019	May	H	2	1	NA	160720202
medium	Fairlie	2019	May	H	2	2	NA	160720202
medium	Fairlie	2019	May	H	2	3	38.442	160720202
medium	Fairlie	2019	May	H	3	1	NA	160720202
medium	Fairlie	2019	May	H	3	2	NA	160720202
medium	Fairlie	2019	May	H	3	3	NA	160720202
medium	Fairlie	2019	May	H	4	1	38.523	17072020
medium	Fairlie	2019	May	H	4	2	39.549	17072020
medium	Fairlie	2019	May	H	4	3	38.544	17072020
medium	Fairlie	2019	May	H	5	1	37.20	17072020
medium	Fairlie	2019	May	H	5	2	NA	17072020
medium	Fairlie	2019	May	H	5	3	NA	17072020
medium	Fairlie	2019	May	H	6	1	NA	17072020
medium	Fairlie	2019	May	H	6	2	NA	17072020
medium	Fairlie	2019	May	H	6	3	37.26	17072020
medium	Fairlie	2019	May	H	7	1	38.65	17072020
medium	Fairlie	2019	May	H	7	2	38.45	17072020
medium	Fairlie	2019	May	H	7	3	NA	17072020
medium	Fairlie	2019	May	H	8	1	NA	17072020
medium	Fairlie	2019	May	H	8	2	35.977	17072020
medium	Fairlie	2019	May	H	8	3	38.71	17072020
medium	Fairlie	2019	May	H	9	1	37.52	17072020
medium	Fairlie	2019	May	H	9	2	38.62	17072020
medium	Fairlie	2019	May	H	9	3	37.992	17072020
medium	Fairlie	2019	May	H	10	1	38.824	17072020
medium	Fairlie	2019	May	H	10	2	NA	17072020
medium	Fairlie	2019	May	H	10	3	37.97	17072020
medium	Fairlie	2019	May	J	1	1	36.579	17072020
medium	Fairlie	2019	May	J	1	2	36.502	17072020
medium	Fairlie	2019	May	J	1	3	36.756	17072020
medium	Fairlie	2019	May	J	2	1	38.833	17072020
medium	Fairlie	2019	May	J	2	2	NA	17072020
medium	Fairlie	2019	May	J	2	3	37.552	17072020
medium	Fairlie	2019	May	J	3	1	NA	17072020
medium	Fairlie	2019	May	J	3	2	37.24	17072020
medium	Fairlie	2019	May	J	3	3	NA	17072020
medium	Fairlie	2019	May	J	4	1	38.50	17072020
medium	Fairlie	2019	May	J	4	2	38.927	17072020
medium	Fairlie	2019	May	J	4	3	NA	17072020
medium	Fairlie	2019	May	J	5	1	38.619	17072020
medium	Fairlie	2019	May	J	5	2	NA	17072020
medium	Fairlie	2019	May	J	5	3	37.604	17072020
medium	Fairlie	2019	May	J	6	1	NA	17072020
medium	Fairlie	2019	May	J	6	2	NA	17072020
medium	Fairlie	2019	May	J	6	3	NA	17072020
medium	Fairlie	2019	May	J	7	1	38.246	17072020
medium	Fairlie	2019	May	J	7	2	39.26	17072020
medium	Fairlie	2019	May	J	7	3	38.79	17072020
medium	Fairlie	2019	May	J	8	1	36.932	17072020
medium	Fairlie	2019	May	J	8	2	36.868	17072020
medium	Fairlie	2019	May	J	8	3	35.828	17072020
medium	Fairlie	2019	May	J	9	1	NA	17072020
medium	Fairlie	2019	May	J	9	2	NA	17072020
medium	Fairlie	2019	May	J	9	3	39.66	17072020
medium	Fairlie	2019	May	J	10	1	NA	17072020
medium	Fairlie	2019	May	J	10	2	40.36	17072020
medium	Fairlie	2019	May	J	10	3	37.75	17072020
medium	Fairlie	2019	May	K	1	1	39.942	17072020
medium	Fairlie	2019	May	K	1	2	38.69	17072020
medium	Fairlie	2019	May	K	1	3	39.397	17072020
medium	Fairlie	2019	May	K	2	1	NA	17072020
medium	Fairlie	2019	May	K	2	2	38.078	17072020
medium	Fairlie	2019	May	K	2	3	NA	17072020
medium	Fairlie	2019	May	K	3	1	37.796	17072020
medium	Fairlie	2019	May	K	3	2	38.897	17072020
medium	Fairlie	2019	May	K	3	3	36.976	17072020
medium	Fairlie	2019	May	K	4	1	37.25	17072020
medium	Fairlie	2019	May	K	4	2	40.401	17072020
medium	Fairlie	2019	May	K	4	3	38.88	17072020
medium	Fairlie	2019	May	K	5	1	39.63	17072020
medium	Fairlie	2019	May	K	5	2	39.202	17072020
medium	Fairlie	2019	May	K	5	3	NA	17072020
medium	Largs	2017	July	L	1	1	NA	392
medium	Largs	2017	July	L	1	2	37.61	392
medium	Largs	2017	July	L	1	3	37.51	392
medium	Largs	2017	July	L	2	1	35.70	392
medium	Largs	2017	July	L	2	2	35.61	392
medium	Largs	2017	July	L	2	3	36.48	392
medium	Largs	2017	July	L	3	1	36.39	392
medium	Largs	2017	July	L	3	2	37.65	392
medium	Largs	2017	July	L	3	3	36.72	392
medium	Largs	2017	July	L	4	1	36.45	392
medium	Largs	2017	July	L	4	2	36.60	392
medium	Largs	2017	July	L	4	3	38.29	392
medium	Largs	2017	July	L	5	1	39.43	392
medium	Largs	2017	July	L	5	2	NA	392
medium	Largs	2017	July	L	5	3	37.33	392
medium	Largs	2017	July	M	1	1	37.72	392
medium	Largs	2017	July	M	1	2	37.75	392
medium	Largs	2017	July	M	1	3	39.80	392
medium	Largs	2017	July	M	2	1	NA	392
medium	Largs	2017	July	M	2	2	36.26	392
medium	Largs	2017	July	M	2	3	36.60	392
medium	Largs	2017	July	M	3	1	37.59	392
medium	Largs	2017	July	M	3	2	38.35	392
medium	Largs	2017	July	M	3	3	NA	392
medium	Largs	2017	July	M	4	1	34.96	392
medium	Largs	2017	July	M	4	2	34.97	392
medium	Largs	2017	July	M	4	3	34.63	392
medium	Largs	2017	July	M	5	1	36.78	392
medium	Largs	2017	July	M	5	2	36.59	392
medium	Largs	2017	July	M	5	3	35.94	392
medium	Largs	2017	July	N	1	1	34.82	392
medium	Largs	2017	July	N	1	2	34.81	392
medium	Largs	2017	July	N	1	3	35.73	392
medium	Largs	2017	July	N	2	1	34.33	392
medium	Largs	2017	July	N	2	2	34.34	392
medium	Largs	2017	July	N	2	3	34.70	392
medium	Largs	2017	July	N	3	1	35.45	392
medium	Largs	2017	July	N	3	2	34.33	392
medium	Largs	2017	July	N	3	3	35.01	392
medium	Largs	2017	July	N	4	1	34.53	392
medium	Largs	2017	July	N	4	2	34.48	392
medium	Largs	2017	July	N	4	3	34.52	392
medium	Largs	2017	July	N	5	1	33.73	392
medium	Largs	2017	July	N	5	2	33.23	392
medium	Largs	2017	July	N	5	3	32.70	392
medium	Largs	2017	October	L	1	1	NA	90720203
medium	Largs	2017	October	L	1	2	37.18	90720203
medium	Largs	2017	October	L	1	3	38.55	90720203
medium	Largs	2017	October	L	2	1	36.732	90720203
medium	Largs	2017	October	L	2	2	37.565	90720203
medium	Largs	2017	October	L	2	3	36.673	90720203
medium	Largs	2017	October	L	3	1	39.205	90720203
medium	Largs	2017	October	L	3	2	NA	90720203
medium	Largs	2017	October	L	3	3	NA	90720203
medium	Largs	2017	October	L	4	1	35.97	90720203
medium	Largs	2017	October	L	4	2	37.289	90720203
medium	Largs	2017	October	L	4	3	35.592	90720203
medium	Largs	2017	October	L	5	1	35.643	90720203
medium	Largs	2017	October	L	5	2	37.28	90720203
medium	Largs	2017	October	L	5	3	36.72	90720203
medium	Largs	2017	October	M	1	1	38.22	90720203
medium	Largs	2017	October	M	1	2	36.94	90720203
medium	Largs	2017	October	M	1	3	37.24	90720203
medium	Largs	2017	October	M	2	1	37.723	90720203
medium	Largs	2017	October	M	2	2	37.19	90720203
medium	Largs	2017	October	M	2	3	41.33	90720203
medium	Largs	2017	October	M	3	1	39.451	90720203
medium	Largs	2017	October	M	3	2	38.375	90720203
medium	Largs	2017	October	M	3	3	NA	90720203
medium	Largs	2017	October	M	4	1	NA	90720203
medium	Largs	2017	October	M	4	2	37.38	90720203
medium	Largs	2017	October	M	4	3	37.43	90720203
medium	Largs	2017	October	M	5	1	37.80	90720203
medium	Largs	2017	October	M	5	2	35.93	90720203
medium	Largs	2017	October	M	5	3	36.463	90720203
medium	Largs	2017	October	N	1	1	35.42	90720203
medium	Largs	2017	October	N	1	2	35.395	90720203
medium	Largs	2017	October	N	1	3	36.78	90720203
medium	Largs	2017	October	N	2	1	35.437	90720203
medium	Largs	2017	October	N	2	2	35.757	90720203
medium	Largs	2017	October	N	2	3	34.434	90720203
medium	Largs	2017	October	N	3	1	NA	90720203
medium	Largs	2017	October	N	3	2	37.687	90720203
medium	Largs	2017	October	N	3	3	37.38	90720203
medium	Largs	2017	October	N	4	1	35.674	90720203
medium	Largs	2017	October	N	4	2	35.357	90720203
medium	Largs	2017	October	N	4	3	35.846	90720203
medium	Largs	2017	October	N	5	1	35.163	90720203
medium	Largs	2017	October	N	5	2	34.685	90720203
medium	Largs	2017	October	N	5	3	34.962	90720203
medium	Largs	2018	February	L	1	1	NA	10720201
medium	Largs	2018	February	L	1	2	38.25	10720201
medium	Largs	2018	February	L	1	3	NA	10720201
medium	Largs	2018	February	L	2	1	NA	10720201
medium	Largs	2018	February	L	2	2	NA	10720201
medium	Largs	2018	February	L	2	3	NA	10720201
medium	Largs	2018	February	L	3	1	NA	10720201
medium	Largs	2018	February	L	3	2	39.66	10720201
medium	Largs	2018	February	L	3	3	NA	10720201
medium	Largs	2018	February	L	4	1	NA	10720201
medium	Largs	2018	February	L	4	2	NA	10720201
medium	Largs	2018	February	L	4	3	NA	10720201
medium	Largs	2018	February	L	5	1	NA	10720201
medium	Largs	2018	February	L	5	2	39.76	10720201
